animal,resSaveIndex,condition,theta6_10PeakHz,theta6_10PeakPower,beta13_30PeakHz,beta13_30PeakPower,beta2_23_30PeakHz,beta2_23_30PeakPower,gamma30_100MeanPower,nSpectrogramTimeWindows
ANM00190422,5,all_moving,7.70645912279819,99373.9658890431,15.8945719407713,6671.14595765261,23.6010310635694,3766.86378403708,1236.46689024735,3550
ANM204878,6,all_moving,7.70645912257608,25047.8188534555,14.9312645499912,3586.75854747446,23.1193773677282,1016.40847591769,211.772925950562,4050
ANM212379,7,all_moving,8.66976651178181,12638.3202406346,17.3395330235636,2280.92170513881,26.9726069255434,1093.11662997786,321.800371341544,4642
ANM228899,8,all_moving,7.70645912122849,12009.0446905362,15.8945719375338,4002.47708665859,23.1193773636855,874.462249611384,317.764472523054,5910
ANM228900,9,all_moving,7.70645912155361,27051.2206088232,15.8945719382043,3087.36389738924,23.1193773646608,687.344772706517,180.85794253979,4468
