animal,resSaveIndex,band,binNumber,binStartUs,binEndUs,binMidMinutesFromRun1Start,validSecondsInBin,burstCount,burstRatePerMinute
ANM00190422,5,beta2_23_30Hz,6,6598900000,6658900000,5.5,25.5447244789279,5,11.7441078782225
ANM00190422,5,beta2_23_30Hz,7,6658900000,6718900000,6.5,25.1483443189445,5,11.9292147504918
ANM00190422,5,beta2_23_30Hz,8,6718900000,6778900000,7.5,43.7052211181657,20,27.4566738091901
ANM00190422,5,beta2_23_30Hz,9,6778900000,6838900000,8.5,45.8249932780767,11,14.4026207706124
ANM00190422,5,beta2_23_30Hz,10,6838900000,6898900000,9.5,46.4291942380514,5,6.46145178531082
ANM00190422,5,beta2_23_30Hz,11,6898900000,6958900000,10.5,33.7784831985823,7,12.4339508535904
ANM00190422,5,beta2_23_30Hz,12,6958900000,7018900000,11.5,17.9394969592471,6,20.0674523269971
ANM00190422,5,beta2_23_30Hz,13,7018900000,7078900000,12.5,8.31181823965115,3,21.6559114757007
ANM00190422,5,beta2_23_30Hz,14,7078900000,7138900000,13.5,15.4071244793534,6,23.3658136845993
ANM00190422,5,beta2_23_30Hz,15,7138900000,7198900000,14.5,38.6830540783765,13,20.1638680963408
ANM00190422,5,beta2_23_30Hz,16,7198900000,7258900000,15.5,46.2507724780589,29,37.6209932672032
ANM00190422,5,beta2_23_30Hz,17,7258900000,7318900000,16.5,57.1061145576033,20,21.0135115879676
ANM00190422,5,beta2_23_30Hz,18,7318900000,7378900000,17.5,50.6048716778761,13,15.4135357750745
ANM00190422,5,beta2_23_30Hz,19,7378900000,7438900000,18.5,51.8517964778238,20,23.1428818577814
ANM00190422,5,beta2_23_30Hz,20,7438900000,7498900000,19.5,45.6820531180827,20,26.2685216204741
ANM00190422,5,beta2_23_30Hz,21,7498900000,7558900000,20.5,38.6668339183772,9,13.9654568341411
ANM00190422,5,beta2_23_30Hz,22,7558900000,7618900000,21.5,42.3011635182246,16,22.6944112207789
ANM00190422,5,beta2_23_30Hz,23,7618900000,7678900000,22.5,55.4587545576724,12,12.9826211522882
ANM00190422,5,beta2_23_30Hz,24,7678900000,7738900000,23.5,49.9945881579017,12,14.4015587792416
ANM00190422,5,beta2_23_30Hz,25,7738900000,7798900000,24.5,40.3811020783052,15,22.2876532258768
ANM00190422,5,beta2_23_30Hz,26,7798900000,7858900000,25.5,49.5383961579209,13,15.7453623955341
ANM00190422,5,beta2_23_30Hz,27,7858900000,7918900000,26.5,31.7215641586686,14,26.4804092193685
