animal,band,totalValidSeconds,totalBurstCount,overallBurstRatePerMinute,slopeBurstRatePerMinutePerMinute,firstHalfRatePerMinute,secondHalfRatePerMinute,secondMinusFirstHalfRate
ANM00190422,beta_13_30Hz,1777.5430040854,84,2.83537444012121,-0.0302095400040709,2.94037502825692,2.72820791340858,-0.212167114848335
ANM00190422,beta2_23_30Hz,1777.5430040854,582,19.6450943351255,0.0864254085260942,17.9763836954798,21.3482269224221,3.37184322694236
ANM204878,beta_13_30Hz,2021.63106813342,100,2.96790057027558,0.00982343250526112,2.62892184667676,3.27355888857341,0.644637041896647
ANM204878,beta2_23_30Hz,2021.63106813342,686,20.3597979120905,0.0561730050356151,18.7780131905483,21.786098810161,3.00808561961266
ANM212379,beta_13_30Hz,2321.40294170837,122,3.15326558284322,0.0182696768700906,2.68971993313892,3.55012697577218,0.860407042633253
ANM212379,beta2_23_30Hz,2321.40294170837,775,20.0309903828155,0.196746960283113,16.9788570779395,22.6440531427631,5.66519606482362
ANM228899,beta_13_30Hz,2949.15760175693,245,4.98447420756444,0.155210341313433,2.16128123759918,7.69144196271159,5.5301607251124
ANM228899,beta2_23_30Hz,2949.15760175693,995,20.2430687205168,0.229767925118833,16.0017937783786,24.309738845876,8.30794506749744
ANM228900,beta_13_30Hz,2237.86709018749,130,3.48546168545984,0.112456383491931,1.55514231051373,5.05368135342279,3.49853904290905
ANM228900,beta2_23_30Hz,2237.86709018749,702,18.8214931014832,0.0867324770127146,16.8673127524951,20.4090977734382,3.54178502094305
