eventSet,movementGroup,timeFromEventSec,meanEventBeta2EnvelopeZ,semEventBeta2EnvelopeZ,meanControlBeta2EnvelopeZ,semControlBeta2EnvelopeZ,nAnimals,nPairs
TierAC,SustainedImmobility,-1.975,0.351766138086715,0.123088717437046,0.338369911621333,0.129508333913842,5,257
TierAC,SustainedImmobility,-1.925,0.224784570818604,0.0984688908359658,0.300546350711655,0.111337726556338,5,257
TierAC,SustainedImmobility,-1.875,0.17759210019906,0.0759715492240069,0.179785032438637,0.106887486984824,5,257
TierAC,SustainedImmobility,-1.825,0.226433053761183,0.0926820364210968,0.082488489599662,0.0914101615242504,5,257
TierAC,SustainedImmobility,-1.775,0.241903083909557,0.116561364161657,0.164651201576663,0.0426450936591233,5,257
TierAC,SustainedImmobility,-1.725,0.193703937221527,0.102512179540986,0.277491925776411,0.0548369969692474,5,257
TierAC,SustainedImmobility,-1.675,0.173024694719262,0.0574977547399188,0.274081793933324,0.0461690450626439,5,257
TierAC,SustainedImmobility,-1.625,0.21764712679255,0.032414947106585,0.151453508538779,0.0428495790837705,5,257
TierAC,SustainedImmobility,-1.575,0.302384692030763,0.0611895181727869,0.0980339565673296,0.0392697819026699,5,257
TierAC,SustainedImmobility,-1.525,0.374660096248914,0.0570348317161471,0.114000614314137,0.0759498688874065,5,257
TierAC,SustainedImmobility,-1.475,0.362645213747504,0.0468931688036953,0.120414996941286,0.0510808794475501,5,257
TierAC,SustainedImmobility,-1.425,0.301106603921017,0.045668578917271,0.103008449961801,0.0410389491650712,5,257
TierAC,SustainedImmobility,-1.375,0.223396573021888,0.0786439044224827,0.0897756623370768,0.0681121966657714,5,257
TierAC,SustainedImmobility,-1.325,0.16351195987702,0.071109592069631,0.0581814588016804,0.0404635948605661,5,257
TierAC,SustainedImmobility,-1.275,0.126816775000676,0.0537475174942101,0.0703439379454829,0.0307915133060428,5,257
TierAC,SustainedImmobility,-1.225,0.166051737059592,0.0854881010631131,0.148187121109931,0.0444351853883958,5,257
TierAC,SustainedImmobility,-1.175,0.269368467845962,0.0644356023264622,0.208890846843558,0.053100795920927,5,257
TierAC,SustainedImmobility,-1.125,0.297732978991586,0.045124888910538,0.219801444390616,0.0792358693040806,5,257
TierAC,SustainedImmobility,-1.075,0.260297804163357,0.0950872246051186,0.221505460600106,0.0722039622660419,5,257
TierAC,SustainedImmobility,-1.025,0.278055807674352,0.0768560762241841,0.215928799939884,0.0818757750375784,5,257
TierAC,SustainedImmobility,-0.975,0.318527967077562,0.0951346175182376,0.22322433741271,0.0768661908338808,5,257
TierAC,SustainedImmobility,-0.925,0.410893725112617,0.150018236054794,0.236246052948437,0.0853325474332594,5,257
TierAC,SustainedImmobility,-0.875,0.429941959068446,0.174956743845544,0.185225383785021,0.0779590997255473,5,257
TierAC,SustainedImmobility,-0.825,0.36590927359382,0.188975407186726,0.093423518269826,0.0559462880881721,5,257
TierAC,SustainedImmobility,-0.775,0.346483613339302,0.134444104520734,0.0365784281662439,0.0457828864376619,5,257
