animal,unit_id,preferred_phase_rad,q_value_bh,notes
ANM00190422,6,+2.20,0.0408,One of two units surviving BH correction across 156 eligible units.
ANM212379,5,-3.12,0.0255,One of two units surviving BH correction across 156 eligible units.
